,index,lng,lat,lng_m,lat_m
224,224,106.451984,29.576869,11850309.59,3427991.985
225,225,106.451804,29.57664,11850289.56,3427962.824
226,226,106.451655,29.57607,11850272.97,3427890.238
227,227,106.451655,29.575971,11850272.97,3427877.631
228,228,106.451535,29.575611,11850259.61,3427831.788
229,229,106.451525,29.575511,11850258.5,3427819.054
230,230,106.451551,29.575455,11850261.39,3427811.923
231,231,106.451595,29.575361,11850266.29,3427799.953
232,232,106.451686,29.574714,11850276.42,3427717.563
233,233,106.451686,29.574714,11850276.42,3427717.563
234,234,106.451716,29.574553,11850279.76,3427697.061
235,235,106.451796,29.57412,11850288.67,3427641.923
236,236,106.451844,29.57341,11850294.01,3427551.512
237,237,106.451855,29.57325,11850295.23,3427531.138
238,238,106.451866,29.57308,11850296.46,3427509.49
239,239,106.451881,29.57286,11850298.13,3427481.476
240,240,106.45189,29.57272,11850299.13,3427463.648
241,241,106.451908,29.57246,11850301.13,3427430.541
242,242,106.451908,29.57246,11850301.13,3427430.541
243,243,106.452007,29.572124,11850312.15,3427387.755
244,244,106.452007,29.572124,11850312.15,3427387.755
245,245,106.452067,29.572006,11850318.83,3427372.729
246,246,106.452249,29.571648,11850339.09,3427327.143
247,247,106.452249,29.571648,11850339.09,3427327.143
248,248,106.452469,29.571367,11850363.58,3427291.361
249,249,106.452469,29.571367,11850363.58,3427291.361
250,250,106.45279,29.571036,11850399.32,3427249.213
251,251,106.45279,29.571036,11850399.32,3427249.213
252,252,106.452919,29.570933,11850413.68,3427236.097
253,253,106.453109,29.570782,11850434.83,3427216.87
254,254,106.453489,29.570479,11850477.13,3427178.287
255,255,106.453919,29.570136,11850525,3427134.611
256,256,106.454875,29.569373,11850631.42,3427037.455
257,257,106.454875,29.569373,11850631.42,3427037.455
258,258,106.454974,29.569302,11850642.44,3427028.414
259,259,106.455478,29.56894,11850698.55,3426982.319
260,260,106.455576,29.568869,11850709.46,3426973.279
261,261,106.455747,29.568766,11850728.49,3426960.163
262,262,106.455747,29.568766,11850728.49,3426960.163
263,263,106.456248,29.568583,11850784.27,3426936.862
264,264,106.456409,29.568571,11850802.19,3426935.334
265,265,106.456409,29.568571,11850802.19,3426935.334
266,266,106.456559,29.56857,11850818.89,3426935.206
267,267,106.456609,29.56857,11850824.45,3426935.206
268,268,106.456609,29.56857,11850824.45,3426935.206
269,269,106.458133,29.568916,11850994.1,3426979.263
270,270,106.458133,29.568916,11850994.1,3426979.263
271,271,106.458293,29.568884,11851011.92,3426975.189
272,272,106.458293,29.568884,11851011.92,3426975.189
273,273,106.459878,29.568887,11851188.36,3426975.571
274,274,106.460028,29.568887,11851205.06,3426975.571
275,275,106.460252,29.568846,11851229.99,3426970.35
276,276,106.460439,29.568812,11851250.81,3426966.021
277,277,106.460439,29.568812,11851250.81,3426966.021
278,278,106.460811,29.568708,11851292.22,3426952.778
279,279,106.461212,29.568264,11851336.86,3426896.242
280,280,106.461213,29.568263,11851336.97,3426896.115
281,281,106.461636,29.567679,11851384.06,3426821.753
282,282,106.462046,29.567114,11851429.7,3426749.811
283,283,106.462271,29.566877,11851454.75,3426719.634
284,284,106.463069,29.566037,11851543.58,3426612.676
285,285,106.463327,29.565765,11851572.3,3426578.043
286,286,106.463431,29.565656,11851583.88,3426564.164
287,287,106.463435,29.565652,11851584.33,3426563.654
288,288,106.463609,29.565481,11851603.7,3426541.881
289,289,106.463649,29.565441,11851608.15,3426536.788
290,290,106.463705,29.565387,11851614.38,3426529.912
291,291,106.463853,29.565241,11851630.86,3426511.322
292,292,106.463853,29.565241,11851630.86,3426511.322
293,293,106.464305,29.564855,11851681.18,3426462.174
294,294,106.464305,29.564855,11851681.18,3426462.174
295,295,106.465089,29.564466,11851768.45,3426412.643
296,296,106.46557,29.564228,11851822,3426382.339
297,297,106.46567,29.564216,11851833.13,3426380.811
298,298,106.46567,29.564216,11851833.13,3426380.811
299,299,106.465929,29.564118,11851861.96,3426368.333
300,300,106.466081,29.56406,11851878.88,3426360.948
301,301,106.466162,29.564029,11851887.9,3426357.001
302,302,106.466162,29.564029,11851887.9,3426357.001
303,303,106.466166,29.563959,11851888.34,3426348.088
304,304,106.466172,29.563869,11851889.01,3426336.629
305,305,106.466116,29.563639,11851882.78,3426307.344
306,306,106.466057,29.5634,11851876.21,3426276.912
307,307,106.466004,29.563181,11851870.31,3426249.028
308,308,106.465982,29.563092,11851867.86,3426237.696
309,309,106.465982,29.563092,11851867.86,3426237.696
310,310,106.465925,29.562602,11851861.52,3426175.307
311,311,106.465907,29.562443,11851859.51,3426155.062
312,312,106.465903,29.562412,11851859.07,3426151.115
313,313,106.4659,29.562382,11851858.73,3426147.295
314,314,106.465854,29.561984,11851853.61,3426096.62
315,315,106.465842,29.561884,11851852.28,3426083.887
316,316,106.465842,29.561884,11851852.28,3426083.887
317,317,106.465837,29.561694,11851851.72,3426059.696
318,318,106.465834,29.561584,11851851.39,3426045.69
319,319,106.465822,29.561145,11851850.05,3425989.795
320,320,106.465822,29.561145,11851850.05,3425989.795
321,321,106.465953,29.560973,11851864.63,3425967.895
322,322,106.466083,29.560921,11851879.1,3425961.275
323,323,106.466364,29.560887,11851910.39,3425956.946
324,324,106.46787,29.560893,11852078.03,3425957.71
325,325,106.468493,29.560896,11852147.39,3425958.092
326,326,106.468493,29.560895,11852147.39,3425957.964
327,327,106.468498,29.560895,11852147.94,3425957.964
328,328,106.469608,29.560903,11852271.51,3425958.983
329,329,106.470019,29.560905,11852317.26,3425959.237
330,330,106.470461,29.560908,11852366.47,3425959.619
331,331,106.470511,29.560909,11852372.03,3425959.747
332,332,106.470642,29.56091,11852386.62,3425959.874
333,333,106.470742,29.56091,11852397.75,3425959.874
334,334,106.471717,29.560917,11852506.29,3425960.765
335,335,106.472882,29.560925,11852635.97,3425961.784
336,336,106.473063,29.560992,11852656.12,3425970.315
337,337,106.473063,29.560992,11852656.12,3425970.315
338,338,106.473103,29.561162,11852660.58,3425991.96
339,339,106.473103,29.561162,11852660.58,3425991.96
340,340,106.473083,29.561242,11852658.35,3426002.145
341,341,106.473083,29.561242,11852658.35,3426002.145
342,342,106.472803,29.561488,11852627.18,3426033.467
343,343,106.47208,29.56212,11852546.69,3426113.936
344,344,106.471978,29.56221,11852535.34,3426125.395
345,345,106.471978,29.56221,11852535.34,3426125.395
346,346,106.471837,29.562352,11852519.64,3426143.475
347,347,106.471837,29.562352,11852519.64,3426143.475
348,348,106.471636,29.562665,11852497.27,3426183.328
349,349,106.471636,29.562665,11852497.27,3426183.328
350,350,106.471526,29.562901,11852485.02,3426213.377
351,351,106.47147,29.56302,11852478.79,3426228.529
352,352,106.471432,29.563102,11852474.56,3426238.969
353,353,106.471386,29.5632,11852469.44,3426251.447
354,354,106.471306,29.563372,11852460.53,3426273.347
355,355,106.471274,29.563441,11852456.97,3426282.133
356,356,106.471274,29.563441,11852456.97,3426282.133
357,357,106.471342,29.563651,11852464.54,3426308.871
358,358,106.471355,29.56369,11852465.99,3426313.837
359,359,106.471355,29.56369,11852465.99,3426313.837
360,360,106.471365,29.56385,11852467.1,3426334.209
361,361,106.471294,29.563961,11852459.2,3426348.343
362,362,106.471294,29.563961,11852459.2,3426348.343
363,363,106.471194,29.564022,11852448.06,3426356.11
364,364,106.471026,29.564057,11852429.36,3426360.566
365,365,106.470722,29.56412,11852395.52,3426368.588
366,366,106.470722,29.56412,11852395.52,3426368.588
367,367,106.470589,29.564241,11852380.72,3426383.994
368,368,106.470377,29.564434,11852357.12,3426408.569
369,369,106.470231,29.564567,11852340.86,3426425.503
370,370,106.47023,29.564568,11852340.75,3426425.63
371,371,106.470226,29.564563,11852340.31,3426424.994
372,372,106.470119,29.564662,11852328.39,3426437.599
373,373,106.470051,29.564725,11852320.83,3426445.621
374,374,106.469737,29.565015,11852285.87,3426482.546
375,375,106.469737,29.565015,11852285.87,3426482.546
376,376,106.469445,29.56535,11852253.36,3426525.201
377,377,106.469341,29.565469,11852241.79,3426540.353
378,378,106.469182,29.565652,11852224.09,3426563.654
379,379,106.469013,29.565846,11852205.27,3426588.356
380,380,106.468913,29.566046,11852194.14,3426613.822
381,381,106.468842,29.566189,11852186.24,3426632.03
382,382,106.468841,29.566198,11852186.13,3426633.176
383,383,106.468834,29.566319,11852185.35,3426648.583
384,384,106.468818,29.566609,11852183.57,3426685.509
385,385,106.468816,29.566639,11852183.34,3426689.329
386,386,106.468802,29.566879,11852181.79,3426719.888
387,387,106.468802,29.56688,11852181.79,3426720.016
388,388,106.468804,29.56721,11852182.01,3426762.035
389,389,106.468805,29.56725,11852182.12,3426767.128
390,390,106.468807,29.567549,11852182.34,3426805.2
391,391,106.468807,29.567589,11852182.34,3426810.293
392,392,106.468809,29.567779,11852182.56,3426834.486
393,393,106.468812,29.568319,11852182.9,3426903.246
394,394,106.468818,29.569089,11852183.57,3427001.292
395,395,106.468819,29.569229,11852183.68,3427019.119
396,396,106.46882,29.569369,11852183.79,3427036.946
397,397,106.46882,29.569369,11852183.79,3427036.946
398,398,106.46885,29.569698,11852187.13,3427078.838
399,399,106.46891,29.569867,11852193.81,3427100.358
400,400,106.46891,29.569867,11852193.81,3427100.358
401,401,106.468913,29.569872,11852194.14,3427100.995
402,402,106.469252,29.570402,11852231.88,3427168.482
403,403,106.469385,29.570608,11852246.69,3427194.713
404,404,106.469469,29.57074,11852256.04,3427211.521
405,405,106.469789,29.57124,11852291.66,3427275.189
406,406,106.469924,29.571451,11852306.69,3427302.057
407,407,106.470034,29.571679,11852318.93,3427331.09
408,408,106.470104,29.572098,11852326.73,3427384.444
409,409,106.470103,29.572138,11852326.61,3427389.538
410,410,106.470083,29.572699,11852324.39,3427460.974
411,411,106.470083,29.572708,11852324.39,3427462.12
412,412,106.470063,29.573469,11852322.16,3427559.025
413,413,106.470063,29.573469,11852322.16,3427559.025
414,414,106.470051,29.573498,11852320.83,3427562.718
415,415,106.469952,29.57374,11852309.8,3427593.534
416,416,106.469873,29.573852,11852301.01,3427607.796
417,417,106.469415,29.574506,11852250.03,3427691.076
418,418,106.469304,29.574664,11852237.67,3427711.196
419,419,106.469184,29.574835,11852224.31,3427732.971
420,420,106.468967,29.575145,11852200.15,3427772.447
421,421,106.468967,29.575145,11852200.15,3427772.447
422,422,106.468776,29.575478,11852178.89,3427814.852
423,423,106.468776,29.575478,11852178.89,3427814.852
424,424,106.468646,29.57595,11852164.42,3427874.957
425,425,106.468635,29.57599,11852163.19,3427880.051
426,426,106.468635,29.57599,11852163.19,3427880.051
427,427,106.468434,29.576323,11852140.82,3427922.456
428,428,106.468405,29.576346,11852137.59,3427925.385
429,429,106.468112,29.576578,11852104.97,3427954.928
430,430,106.46811,29.57658,11852104.75,3427955.183
431,431,106.467874,29.576775,11852078.48,3427980.015
