index,lng,lat
421,106.468967,29.575145
422,106.468776,29.575478
423,106.468776,29.575478
424,106.468646,29.57595
425,106.468635,29.57599
426,106.468635,29.57599
427,106.468434,29.576323
428,106.468405,29.576346
429,106.468112,29.576578
430,106.46811,29.57658
431,106.467874,29.576775
432,106.467714,29.576908
433,106.467658,29.576955
434,106.467633,29.576944
435,106.467613,29.576935
436,106.467613,29.576935
437,106.467661,29.576896
438,106.467847,29.576748
439,106.468403,29.576304
440,106.468554,29.576062
441,106.468554,29.575972
442,106.468554,29.575971
443,106.468563,29.575941
444,106.468705,29.57546
445,106.468705,29.575459
446,106.468887,29.575117
447,106.468887,29.575117
448,106.468995,29.574964
449,106.469116,29.574793
450,106.46923,29.574632
451,106.469802,29.573823
452,106.469802,29.573823
453,106.469942,29.573571
454,106.469942,29.573571
455,106.469969,29.573499
456,106.469983,29.573461
457,106.469983,29.57346
458,106.469993,29.572652
459,106.469993,29.572652
460,106.469993,29.572651
461,106.469993,29.572651
